code,title,description
BA 370,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370H,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 370H,BUSINESS INFORMATION SYSTEMS OVERVIEW,"Introduce students to the field of information management. Topics include information systems technology, the strategic role of IT, the business applications of networks, databases and Internet technologies, and the development and implementation of information systems. Use relational database models to design a real-world case study."
BA 375,APPLIED QUANTITATIVE METHODS,"Introduces students to the basics of data science and data analytics for handling of large-scale databases. It provides an overview of the main data-analytic techniques and topics including data visualization, linear and nonlinear regression analysis, time series analysis and forecasting, classification, and clustering methods."
BA 375,APPLIED QUANTITATIVE METHODS,"Introduces students to the basics of data science and data analytics for handling of large-scale databases. It provides an overview of the main data-analytic techniques and topics including data visualization, linear and nonlinear regression analysis, time series analysis and forecasting, classification, and clustering methods."
BA 375,APPLIED QUANTITATIVE METHODS,"Introduces students to the basics of data science and data analytics for handling of large-scale databases. It provides an overview of the main data-analytic techniques and topics including data visualization, linear and nonlinear regression analysis, time series analysis and forecasting, classification, and clustering methods."
BA 375,APPLIED QUANTITATIVE METHODS,"Introduces students to the basics of data science and data analytics for handling of large-scale databases. It provides an overview of the main data-analytic techniques and topics including data visualization, linear and nonlinear regression analysis, time series analysis and forecasting, classification, and clustering methods."
BA 375,APPLIED QUANTITATIVE METHODS,"Introduces students to the basics of data science and data analytics for handling of large-scale databases. It provides an overview of the main data-analytic techniques and topics including data visualization, linear and nonlinear regression analysis, time series analysis and forecasting, classification, and clustering methods."
BA 381,PERSONAL AND PROFESSIONAL DEVELOPMENT,Varies by section
BA 381,PERSONAL AND PROFESSIONAL DEVELOPMENT,Varies by section
BA 381,PERSONAL AND PROFESSIONAL DEVELOPMENT,Varies by section
BA 381,PERSONAL AND PROFESSIONAL DEVELOPMENT,Varies by section
BA 381,PERSONAL AND PROFESSIONAL DEVELOPMENT,Varies by section
BA 384,BLUEPRINT - TRANSFER TRANSITIONS - THIRD YEAR FALL INTERNAL,"Customized entry course for transfer students that provides a 'welcome to the College of Business' component, and Professional Development content, including business writing and verbal communication; CliftonStrengths; Gap Analysis; Corporate Culture; Map to Graduation; and Paying for College. Appropriate for third year internal transfer students matriculating to the College in the Fall term."
BA 384,BLUEPRINT - TRANSFER TRANSITIONS - THIRD YEAR FALL INTERNAL,"Customized entry course for transfer students that provides a 'welcome to the College of Business' component, and Professional Development content, including business writing and verbal communication; CliftonStrengths; Gap Analysis; Corporate Culture; Map to Graduation; and Paying for College. Appropriate for third year internal transfer students matriculating to the College in the Fall term."
BA 384,BLUEPRINT - TRANSFER TRANSITIONS - THIRD YEAR FALL INTERNAL,"Customized entry course for transfer students that provides a 'welcome to the College of Business' component, and Professional Development content, including business writing and verbal communication; CliftonStrengths; Gap Analysis; Corporate Culture; Map to Graduation; and Paying for College. Appropriate for third year internal transfer students matriculating to the College in the Fall term."
BA 390,PRINCIPLES OF MARKETING,Varies by section
BA 390,PRINCIPLES OF MARKETING,Varies by section
BA 390,PRINCIPLES OF MARKETING,Varies by section
BA 390,PRINCIPLES OF MARKETING,Varies by section
BA 403,THESIS,
BA 405,READING AND CONFERENCE,Supervised individual work in some field of special application and interest. Subjects chosen must be approved by professor in charge.
BA 406,PROJECTS,
BA 406,PROJECTS: PROJ/ BIS,
BA 406,PROJECTS,
BA 407,SEMINAR: SEM/ LEADERSHIP,
BA 407,SEMINAR: SEM/ MECOP/ BUSINESS,
BA 407,SEMINAR: SEMINAR:,
BA 410,BUSINESS INTERNSHIP,"Planned and supervised work experience at selected cooperating business firms. Supplementary training, conference, reports, and appraisals. Graded P/N."
BA 410,BUSINESS INTERNSHIP: BUSINESS INTERNSHIP/MECOP,"Planned and supervised work experience at selected cooperating business firms. Supplementary training, conference, reports, and appraisals. Graded P/N."
BA 410,BUSINESS INTERNSHIP,"Planned and supervised work experience at selected cooperating business firms. Supplementary training, conference, reports, and appraisals. Graded P/N."
BA 410,BUSINESS INTERNSHIP,"Planned and supervised work experience at selected cooperating business firms. Supplementary training, conference, reports, and appraisals. Graded P/N."
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 411,NAVIGATING YOUR WORKPLACE,Varies by section
BA 451,SUPPLY AND SOURCING MANAGEMENT,Varies by section
BA 451,SUPPLY AND SOURCING MANAGEMENT,Varies by section
BA 460,VENTURE MANAGEMENT,"Entrepreneurial and innovation processes applied to new business start-ups, existing small businesses, and new ventures within larger organizations; new venture planning, project management, and productivity improvement. Cases and projects are used to apply concepts and to develop communication skills."
BA 464,NEW VENTURE FINANCING,"Explore financial issues facing entrepreneurial business ventures: cash flow and budgets, financial analysis, financial statement forecasting, financial controls, asset management, and understanding the funding options at different points in the business life cycle including SBA loans, angel investment, venture capital, bank loans, and going public."
BA 464,NEW VENTURE FINANCING,"Explore financial issues facing entrepreneurial business ventures: cash flow and budgets, financial analysis, financial statement forecasting, financial controls, asset management, and understanding the funding options at different points in the business life cycle including SBA loans, angel investment, venture capital, bank loans, and going public."
BA 466,INTEGRATIVE STRATEGIC EXPERIENCE,"Provides students with an overview of the basic concepts in strategic management. Students learn frameworks and models to understand and analyze a firm's external environment and internal resources in an effort to create sustainable competitive advantages. Analysis and critique of conventional conceptions of business ethics. Evaluation of ethical issues involving businesses at firm, national, and international levels."
BA 466,INTEGRATIVE STRATEGIC EXPERIENCE,"Provides students with an overview of the basic concepts in strategic management. Students learn frameworks and models to understand and analyze a firm's external environment and internal resources in an effort to create sustainable competitive advantages. Analysis and critique of conventional conceptions of business ethics. Evaluation of ethical issues involving businesses at firm, national, and international levels."
BA 466,INTEGRATIVE STRATEGIC EXPERIENCE,"Provides students with an overview of the basic concepts in strategic management. Students learn frameworks and models to understand and analyze a firm's external environment and internal resources in an effort to create sustainable competitive advantages. Analysis and critique of conventional conceptions of business ethics. Evaluation of ethical issues involving businesses at firm, national, and international levels."
BA 466,INTEGRATIVE STRATEGIC EXPERIENCE,"Provides students with an overview of the basic concepts in strategic management. Students learn frameworks and models to understand and analyze a firm's external environment and internal resources in an effort to create sustainable competitive advantages. Analysis and critique of conventional conceptions of business ethics. Evaluation of ethical issues involving businesses at firm, national, and international levels."
BA 481,INTRODUCTION TO BUSINESS ANALYTICS,"How organizations can successfully collect, evaluate and apply information for better decision making. Emerging technologies such as transaction processing systems, RFID, weblogs, social networks, website usage, and online communities have the potential to reveal market trends, suppliers' preferences, and competitors' next moves. The success of an organization largely depends on its ability to take advantage of those data sets that are already available to it. The class starts with basic IT strategy concepts for the identification of the opportunities for BI solutions, and ends with hands-on experience using Business Intelligence tools to implement such solutions."
BA 481,INTRODUCTION TO BUSINESS ANALYTICS,"How organizations can successfully collect, evaluate and apply information for better decision making. Emerging technologies such as transaction processing systems, RFID, weblogs, social networks, website usage, and online communities have the potential to reveal market trends, suppliers' preferences, and competitors' next moves. The success of an organization largely depends on its ability to take advantage of those data sets that are already available to it. The class starts with basic IT strategy concepts for the identification of the opportunities for BI solutions, and ends with hands-on experience using Business Intelligence tools to implement such solutions."
BB 111,INTRODUCTION TO BIOCHEMISTRY AND BIOPHYSICS RESEARCH,Designed to introduce biochemistry and biophysics students to departmental research opportunities and advisors.
BB 111,INTRODUCTION TO BIOCHEMISTRY AND BIOPHYSICS RESEARCH,Designed to introduce biochemistry and biophysics students to departmental research opportunities and advisors.
BB 111,INTRODUCTION TO BIOCHEMISTRY AND BIOPHYSICS RESEARCH,Designed to introduce biochemistry and biophysics students to departmental research opportunities and advisors.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 314,CELL AND MOLECULAR BIOLOGY,Fundamental concepts of prokaryotic and eukaryotic cell biology. Emphasizes cell structure and function at the molecular level. Lec/rec.
BB 317,^SCIENTIFIC THEORY AND PRACTICE,Varies by section
BB 317,^SCIENTIFIC THEORY AND PRACTICE,Varies by section
BB 331,*INTRODUCTION TO MOLECULAR BIOLOGY,"Course dealing with the molecular basis of cellular function, with emphasis upon modern developments, and the foundation for practical applications of this knowledge. The course will involve the conceptual background necessary to appreciate the applications of molecular biology. Throughout the course opportunities will be given to discuss public policy issues and questions: What are the moral and practical problems that flow from identification of an individual as being at risk for a late-appearing genetic disorder, such as Huntington's disease or certain cancers? Does the scientific or public value of knowing the entire DNA sequence of the human genome justify a situation in which individual or small-scale research cannot be supported? What issues arise when the fruits of biological research, mostly publicly funded, are commercialized? Should a novel organism be patented? How can biotechnology be applied to environmental problems? (Bacc Core Course)"
BB 332,*MOLECULAR MEDICINE,"Provides students an understanding of medical advances from a rapidly evolving molecular point of view. Advances in knowledge of the human genome arising from DNA sequencing efforts and major leaps in understanding of the regulating cellular growth and division are presented in an easy-to-understand fashion appropriate for students in all majors. Course discussions and assignments will cover implications of advances in molecular medicine from ethical, economic, technical and societal standpoints. The aim of the course is to present technical material in a way that non-scientists will understand and conversely to summarize ethical, economic, and philosophical considerations in a way that the scientists understand the implications of these technologies. (Bacc Core Course)"
BB 332,*MOLECULAR MEDICINE,"Provides students an understanding of medical advances from a rapidly evolving molecular point of view. Advances in knowledge of the human genome arising from DNA sequencing efforts and major leaps in understanding of the regulating cellular growth and division are presented in an easy-to-understand fashion appropriate for students in all majors. Course discussions and assignments will cover implications of advances in molecular medicine from ethical, economic, technical and societal standpoints. The aim of the course is to present technical material in a way that non-scientists will understand and conversely to summarize ethical, economic, and philosophical considerations in a way that the scientists understand the implications of these technologies. (Bacc Core Course)"
BB 345,INTRODUCTION TO BIOLOGICAL SEQUENCE ANALYSIS,"Introduction to computer-based analyses of biomolecular data, particularly nucleic acid and protein sequences, with the Python programming language. Topics include reading and writing of sequence files, subsequences, reverse complement, finding sequence patterns, subroutines, control structures, and parsing complex data files."
BB 345,INTRODUCTION TO BIOLOGICAL SEQUENCE ANALYSIS,"Introduction to computer-based analyses of biomolecular data, particularly nucleic acid and protein sequences, with the Python programming language. Topics include reading and writing of sequence files, subsequences, reverse complement, finding sequence patterns, subroutines, control structures, and parsing complex data files."
BB 350,ELEMENTARY BIOCHEMISTRY,Service course for students desiring a short introduction to biochemistry. Four lectures weekly.
BB 360,INTRODUCTION TO NEUROSCIENCE,"An introduction to the field of neuroscience. Topics include structure of neurons, outline of signaling in the central nervous system, Nernst equation, action potentials, synaptic transmission, chemical signaling in vision, disease and drugs."
BB 360,INTRODUCTION TO NEUROSCIENCE,"An introduction to the field of neuroscience. Topics include structure of neurons, outline of signaling in the central nervous system, Nernst equation, action potentials, synaptic transmission, chemical signaling in vision, disease and drugs."
BB 401,UNDERGRADUATE RESEARCH,
BB 403,THESIS,
BB 405,READING AND CONFERENCE,
BB 405,READING AND CONFERENCE,
BB 407H,SEMINAR: SEM/ LEARN TO LOVE LYING EYES,Informal seminars presenting information about research problems and careers and research programs on campus in biochemistry or biophysics.
BB 410,INTERNSHIP,
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 450,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. BB 450/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a>/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 451,GENERAL BIOCHEMISTRY,"Sequence course for students with a limited background in physical chemistry. <a href=""/search/?p=BB%20450"" data-action=""result-detail"" data-group=""code:BB 450"" >BB 450</a>/<a href=""/search/?p=BB%20550"" data-action=""result-detail"" data-group=""code:BB 550"" >BB 550</a>, three lectures and one recitation. BB 451/<a href=""/search/?p=BB%20551"" data-action=""result-detail"" data-group=""code:BB 551"" >BB 551</a>, three lectures."
BB 453,BIOCHEMISTRY AND MOLECULAR BIOLOGY LABORATORY TECHNIQUES,"Laboratory course for non-majors that introduces students to biochemistry and molecular biology techniques used to investigate the functional relationship between nucleic acid sequence, gene expression, and protein function."
BB 453,BIOCHEMISTRY AND MOLECULAR BIOLOGY LABORATORY TECHNIQUES,"Laboratory course for non-majors that introduces students to biochemistry and molecular biology techniques used to investigate the functional relationship between nucleic acid sequence, gene expression, and protein function."
BB 453,BIOCHEMISTRY AND MOLECULAR BIOLOGY LABORATORY TECHNIQUES,"Laboratory course for non-majors that introduces students to biochemistry and molecular biology techniques used to investigate the functional relationship between nucleic acid sequence, gene expression, and protein function."
BB 453,BIOCHEMISTRY AND MOLECULAR BIOLOGY LABORATORY TECHNIQUES,"Laboratory course for non-majors that introduces students to biochemistry and molecular biology techniques used to investigate the functional relationship between nucleic acid sequence, gene expression, and protein function."
BB 481,MACROMOLECULAR STRUCTURE,"An introduction to structural biology, the discipline focused on understanding the structural properties of biological macromolecules--especially proteins and nucleic acids--and relating them to their function. Introduces students to the vocabulary and tools of this discipline, covering both the fundamental physico-chemical principles governing the structure and function of biological macromolecules and a selected set of widely used experimental and theoretical approaches to their characterization. This is done through lectures, and textbook and literature readings. Graduate students receive additional experience in scientific reading, writing and presentation through a literature-based term project."
BB 490,BIOCHEMISTRY 1: STRUCTURE AND FUNCTION,"Examines how the structure and function of biological macromolecules arises from the organic chemistry of their fundamental building blocks. The organic chemistry of biochemistry will be a focus, including the mechanisms by which enzymes catalyze biological reactions."
BB 493,BIOCHEMISTRY LABORATORY MOLECULAR TECHNIQUES 1,"Laboratory course to accompany <a href=""/search/?p=BB%20450"" data-action=""result-detail"" data-group=""code:BB 450"" >BB 450</a>, <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a> or <a href=""/search/?p=BB%20490"" data-action=""result-detail"" data-group=""code:BB 490"" >BB 490</a>, <a href=""/search/?p=BB%20491"" data-action=""result-detail"" data-group=""code:BB 491""  class=""notoffered"">BB 491</a>, <a href=""/search/?p=BB%20492"" data-action=""result-detail"" data-group=""code:BB 492""  class=""notoffered"">BB 492</a>. Lec/lab."
BB 493,BIOCHEMISTRY LABORATORY MOLECULAR TECHNIQUES 1,"Laboratory course to accompany <a href=""/search/?p=BB%20450"" data-action=""result-detail"" data-group=""code:BB 450"" >BB 450</a>, <a href=""/search/?p=BB%20451"" data-action=""result-detail"" data-group=""code:BB 451"" >BB 451</a> or <a href=""/search/?p=BB%20490"" data-action=""result-detail"" data-group=""code:BB 490"" >BB 490</a>, <a href=""/search/?p=BB%20491"" data-action=""result-detail"" data-group=""code:BB 491""  class=""notoffered"">BB 491</a>, <a href=""/search/?p=BB%20492"" data-action=""result-detail"" data-group=""code:BB 492""  class=""notoffered"">BB 492</a>. Lec/lab."
BB 499,SPECIAL TOPICS: ST/ CHROMATIN & EPIGENETICS,Topics and credits vary.
BDS 474X,INTRODUCTION TO GENOME BIOLOGY,"Explores how genomes underlie and influence biological phenomena, across the diversity of life, from prokaryotic microbes to eukaryotic multicellular organisms. Covers genome organization: the structure of chromosomes and chromatin; genes and gene families; and mechanisms that remodel genomes, such as mutation, recombination and transposable elements in the first part of the course. Focuses on genome expression and regulation: gene expression, cellular functions and biochemical pathways; transcriptional and post-transcriptional regulatory mechanisms; and genotype-to-phenotype relationships in the second part of the course. Emphasizes the use of recent technological advances and genome-wide assays that enable investigation of these topics."
BEE 101,ECOLOGICAL ENGINEERING I,"Introduction to engineering at OSU and the field of ecological engineering. Topics include engineering analysis and problem solving, professional ethics, the design process and teamwork."
BEE 101,ECOLOGICAL ENGINEERING I,"Introduction to engineering at OSU and the field of ecological engineering. Topics include engineering analysis and problem solving, professional ethics, the design process and teamwork."
BEE 311,ECOLOGICAL FLUID MECHANICS,"Fluid properties, fluid statics, fluid motion, conservation of mass, momentum and energy for incompressible fluids, dimensional analysis, ecological engineering applications. Lec/rec."
BEE 320,BIOSYSTEMS ANALYSIS AND MODELING,An introduction to simulation modeling and analysis of a variety of biological and ecological systems. Systems approaches to describing ecological systems.
BEE 401,RESEARCH,
BEE 401,RESEARCH,
BEE 401,RESEARCH,
BEE 401,RESEARCH,
BEE 410,ECOLOGICAL ENGINEERING INTERNSHIP,Internship in ecological engineering to provide students with an opportunity to apply course work and theory to the real world. Requires internship opportunity identification by student.
BEE 411,GLOBAL ENVIRONMENTAL CHANGE: USING DATA TO INFORM DECISIONS,"Empowers students interested in global change research to focus on the interactions between changes in human land use and climate. Using an innovative online data and mapping tool called Data Basin, students will explore topics accessing the highest quality datasets available in an all-in-one platform."
BEE 415,PROFESSIONAL DEVELOPMENT,Preparation for student professional careers. Students will interact with and hear seminars from professionals working in the ecological engineering field to learn from their experiences.
BEE 469,^ECOLOGICAL ENGINEERING DESIGN I,"Engineering design processes for ecological engineering applications, including specifications, performance criteria, timelines, and project logistics, principles and practices of working in engineering teams. (Writing Intensive Course)"
BEE 472,INTRODUCTION TO FOOD ENGINEERING PRINCIPLES,"Fundamental engineering principles for scientists and non-process engineers. Topics include fluid flow, mass and energy transfer, and material and energy balances. Directed at food scientists and other majors who need or would like a working knowledge of food engineering principles."
BHS 110,BIOHEALTH SCIENCES ORIENTATION,"Introduction of incoming BioHealth Sciences students to college life with an emphasis on faculties, facilities, services, and curricula in BHS. Exposure to career opportunities for students interested in the BioHealth Sciences. Graded P/N."
BHS 110,BIOHEALTH SCIENCES ORIENTATION,"Introduction of incoming BioHealth Sciences students to college life with an emphasis on faculties, facilities, services, and curricula in BHS. Exposure to career opportunities for students interested in the BioHealth Sciences. Graded P/N."
BHS 255,*ALLIED HEALTH MICROBIOLOGY,"General properties of cellular microbes and viruses, microbial biochemistry and genetics, pathogenesis and disease, immunity, and microbial infections. Lecture and lab emphasis is on medical microbiology, infectious diseases, and public health. Not intended for biological sciences majors. Lec/lab. CROSSLISTED as BHS 255/<a href=""/search/?p=MB%20255"" data-action=""result-detail"" data-group=""code:MB 255"" >MB 255</a>."
BHS 320,HUMAN BACTERIOLOGY,"Properties of bacteria, their biology, pathogenesis and concern to society. Emphasis on the role of bacteria in human health and disease. CROSSLISTED as BHS 320/<a href=""/search/?p=MB%20320"" data-action=""result-detail"" data-group=""code:MB 320"" >MB 320</a>."
BHS 323,^MICROBIAL INFLUENCES ON HUMAN HEALTH,"How microorganisms contribute in beneficial and detrimental ways to human health. Emphasis on microbial contributions to cancer, gut health, chronic infection and autoimmune diseases. This course is part of the Writing Intensive Curriculum for the BioHealth Sciences major. (Writing Intensive Course)"
BHS 329,MECHANISMS OF DISEASE: INTRODUCTION TO GENERAL PATHOLOGY,"An introduction to basic principles of disease, focused on structural and functional changes of cells, tissues and organs, and their relationships to clinical disease. The emphasis of the course is at the cellular to organ level, but will cover some on molecular mechanisms as pertinent."
BHS 401,RESEARCH,
BHS 403,THESIS,
BHS 410,SCIENCE INTERNSHIP,"Supervised scientific work experience at selected cooperating institutions, agencies, laboratories, or companies. Graded P/N."
BHS 499,SPECIAL TOPICS: ST/BIOHEALTH SCI CAPSTONE EXP,Graded P/N.
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
BI 101,"*ENVIRONMENTAL BIOLOGY: ECOLOGY, CONSERVATION, GLOBAL CHANGE",Varies by section
